Date,Code,ClosePrice
2026-03-07,000768,29.8
2026-03-07,000768,29.8
2026-03-07,000768,29.8
2026-03-07,000768,29.8
2026-03-07,000768,29.8
2026-03-07,000768,29.8
2026-03-07,000768,29.8
2026-03-07,000768,29.8
2026-03-07,000768,29.8
2026-03-07,000768,29.8
2026-03-07,000678,12.83
2026-03-07,600410,29.73
2026-03-08,000768,29.8
2026-03-08,300170,22.74
2026-03-08,300773,27.9
2026-03-09,000768,28.56
2026-03-09,300773,29.5
2026-03-09,000768,28.34
2026-03-09,300773,28.94
2026-03-09,000768,28.52
2026-03-09,300773,29.79
2026-03-09,000768,28.76
2026-03-09,300773,29.48
2026-03-09,000768,28.76
2026-03-09,300773,29.48
2026-03-09,000768,28.76
2026-03-09,300773,29.48
2026-03-09,000768,28.76
2026-03-09,300773,29.48
2026-03-10,000768,29.24
2026-03-10,300773,28.89
2026-03-10,000768,28.99
2026-03-10,000768,28.99
2026-03-10,000768,29.04
2026-03-10,000768,29.02
2026-03-10,000768,29.02
2026-03-10,000768,29.02
2026-03-10,000768,29.02
2026-03-10,000678,12.94
2026-03-11,000768,28.92
2026-03-11,000768,28.52
2026-03-11,000768,28.52
2026-03-11,603039,46.27
2026-03-11,002385,4.2
2026-03-11,000768,28.2
2026-03-11,000768,28.2
2026-03-12,000768,27.17
2026-03-12,000768,27.31
2026-03-13,000768,27.09
2026-03-13,000768,26.88
2026-03-16,000768,26.73
2026-03-16,000768,27.05
2026-03-16,000768,26.92
2026-03-16,000768,26.92
2026-03-16,000768,26.92
2026-03-16,000768,26.85
2026-03-17,000768,26.49
2026-03-17,000768,26.5
2026-03-18,000768,26.67
2026-03-18,000768,25.97
2026-03-19,000768,25.76
2026-03-19,000768,25.89
2026-03-20,000768,25.52
2026-03-20,000768,24.86
2026-03-23,000768,24.43
2026-03-23,000768,24.57
2026-03-24,000768,24.63
2026-03-24,000768,24.78
2026-03-25,000768,25.18
2026-03-25,000768,24.72
2026-03-26,000768,24.59
2026-03-26,000768,24.94
2026-03-27,000768,25.03
